"wert";"menge";"nummer";"bauform";"referenz"
"PV-EC-CAP-017-22U";"25";"6000002";"0603";"C1, C4, C5, C7, C16, C21, C22, C25, C26, C27, C28, C31, C301, C314, C319, C407, C414, C520, C521, C701, C702, C707, C708, C709, C710"
"PV-EC-ALU-004-100U";"5";"6000031";"5.5x5.5x5";"C2, C3, C6, C46, C47"
"PV-EC-CAP-014-8P";"2";"6000484";"0402";"C10, C11"
"PV-EC-CAP-014-18P";"8";"6000004";"0402";"C12, C13, C23, C30, C54, C66, C705, C706"
"PV-EC-CAP-010-4U7";"5";"6000073";"0402";"C14, C15, C24, C302, C303"
"PV-EC-CAP-022-10N";"1";"6000428";"0603";"C17"
"PV-EC-CAP-022-220N";"3";"6000225";"0603";"C18, C19, C65"
"PV-EC-CAP-011-220N";"51";"6000001";"0402";"C20, C29, C32, C33, C34, C36, C38, C39, C44, C45, C50, C53, C57, C58, C59, C304, C305, C306, C307, C308, C309, C310, C311, C312, C315, C317, C318, C401, C402, C403, C406, C408, C409, C411, C415, C416, C417, C418, C419, C420, C421, C422, C423, C424, C425, C426, C427, C501, C503, C507, C509"
"PV-EC-CAP-017-10U";"7";"6000369";"0603";"C35, C37, C42, C43, C51, C313, C316"
"PV-EC-CAP-029-10U";"4";"6000034";"0805";"C40, C41, C48, C49"
"PV-EC-CAP-020-1U";"1";"6000112";"0603";"C55"
"PV-EC-CAP-022-220P";"1";"6000138";"0603";"C56"
"PV-EC-CAP-022-1N";"2";"6000167";"0603";"C63, C64"
"PV-EC-CON-008-014";"2";"6000449";"PinHeader_2x10_P2.54mm_Vertical";"CN1, CN3"
"PV-EC-CON-013-006";"1";"6000479";"2908-05WB-MG";"CN2"
"PV-EC-CON-010-010";"1";"6000478";"USB4105-GF-A";"CN4"
"PV-EC-CON-012-003";"1";"6000254";"35RASMT2BHNTRX";"CN5"
"PV-EC-CON-010-004";"1";"6000081";"629104190121";"CN6"
"PV-EC-OPT-006-003";"1";"6000277";"0603";"D1"
"PV-EC-OPT-006-002";"1";"6000278";"0603";"D2"
"PV-EC-DIO-001-001";"1";"6000007";"SOD-523";"D3"
"PV-EC-PTN-003-012";"1";"6000448";"DO-214AA-2";"D4"
"PV-EC-PTN-005-006";"1";"6000472";"1812";"F1"
"PV-EC-FIL-004-002";"6";"6000244";"1206";"FB1, FB2, FB3, FB4, FB5, FB9"
"PV-EC-FIL-004-001";"3";"6000008";"0603_FB";"FB6, FB10, FB11"
"PV-EC-FIL-006-002";"2";"6000333";"DLW21H";"L1, L3"
"PV-EC-FIL-006-003";"1";"6000417";"CM2021Y330R-10";"L2"
"PV-EC-IND-010-2U2";"2";"6000011";"1008";"L701, L702"
"PV-EC-RES-007-10K";"15";"6000020";"0402";"R2, R9, R11, R13, R14, R23, R49, R50, R51, R52, R53, R54, R504, R508, R509"
"PV-EC-RES-007-3R3";"1";"6000258";"0402";"R3"
"PV-EC-RES-010-100K";"1";"6000120";"0603";"R4"
"PV-EC-RES-007-1M";"3";"6000181";"0402";"R6, R7, R8"
"PV-EC-RES-007-0R";"1";"6000061";"0402";"R10"
"PV-EC-RES-007-33R";"12";"6000021";"0402";"R12, R24, R25, R26, R32, R34, R35, R36, R39, R43, R55, R56"
"PV-EC-RES-010-5K6";"4";"6000148";"0603";"R15, R16, R17, R18"
"PV-EC-RES-010-47K";"7";"6000295";"0603";"R19, R20, R21, R22, R29, R30, R42"
"PV-EC-RES-010-100R";"3";"6000397";"0603";"R27, R28, R33"
"PV-EC-RES-010-150R";"2";"6000297";"0603";"R37, R38"
"PV-EC-RES-010-680R";"1";"6000464";"0603";"R40"
"PV-EC-RES-010-0R";"1";"6000054";"0603";"R41"
"PV-EC-RES-007-1K";"2";"6000027";"0402";"R44, R48"
"PV-EC-RES-010-5K11";"2";"6000392";"0603";"R46, R47"
"PV-EC-RES-007-1K5";"2";"6000023";"0402";"R58, R59"
"PV-EC-RES-007-100K";"2";"6000024";"0402";"R301, R302"
"PV-EC-RES-007-240R";"3";"6000088";"0402";"R402, R406, R407"
"PV-EC-RES-007-470R";"1";"6000065";"0402";"R403"
"PV-EC-RES-007-453K";"1";"6000322";"0402";"R701"
"PV-EC-RES-007-147K";"1";"6000375";"0402";"R703"
"PV-EC-PWR-008-002";"3";"6000094";"SOT-23-5";"U1, U4, U504"
"PV-EC-PTN-004-004";"1";"6000458";"LLP-2513-13L";"U2"
"PV-EC-PTN-004-001";"3";"6000098";"SOT-23-6";"U3, U7, U8"
"PV-EC-AIC-003-006";"1";"6000480";"QFN-28-5x5-EP";"U6"
"PV-EC-SOC-003-004";"1";"6000367";"MAPBGA-289-14x14";"U301"
"PV-EC-MEM-008-4G";"1";"6000096";"FBGA_96_DDR3L_Combo";"U401"
"PV-EC-PWR-005-001";"2";"6000014";"SOT-23-5";"U701, U702"
"PV-EC-CLK-003-007";"1";"6000483";"CRY_2x1.6";"Y1"
"PV-EC-CLK-003-004";"1";"6000104";"CRY_2x1.2";"Y2"
"PV-EC-CLK-004-004";"1";"6000481";"OSC_5x7.5x2.5";"Y3"
"PV-EC-CLK-004-005";"1";"6000482";"OSC_5x7.5x2.5";"Y4"



