Ref,Val,Package,PosX,PosY,Rot,Side
"C1","PV-EC-CAP-017-22U","0603",2.250000,31.500000,90.000000,bottom
"C4","PV-EC-CAP-017-22U","0603",52.250000,23.500000,0.000000,bottom
"C5","PV-EC-CAP-017-22U","0603",2.250000,24.750000,270.000000,bottom
"C7","PV-EC-CAP-017-22U","0603",44.250000,12.250000,0.000000,bottom
"C14","PV-EC-CAP-010-4U7","0402",36.100000,18.550000,180.000000,bottom
"C16","PV-EC-CAP-017-22U","0603",8.500000,38.000000,180.000000,bottom
"C17","PV-EC-CAP-022-10N","0603",44.250000,13.750000,0.000000,bottom
"C18","PV-EC-CAP-022-220N","0603",3.250000,28.250000,0.000000,bottom
"C19","PV-EC-CAP-022-220N","0603",10.250000,23.000000,0.000000,bottom
"C20","PV-EC-CAP-011-220N","0402",35.250000,37.000000,90.000000,bottom
"C21","PV-EC-CAP-017-22U","0603",61.250000,24.000000,180.000000,bottom
"C23","PV-EC-CAP-014-18P","0402",38.450000,39.850000,180.000000,bottom
"C24","PV-EC-CAP-010-4U7","0402",26.000000,2.500000,180.000000,bottom
"C25","PV-EC-CAP-017-22U","0603",24.000000,3.500000,270.000000,bottom
"C26","PV-EC-CAP-017-22U","0603",28.000000,3.500000,270.000000,bottom
"C27","PV-EC-CAP-017-22U","0603",58.750000,23.250000,0.000000,bottom
"C28","PV-EC-CAP-017-22U","0603",54.750000,24.000000,180.000000,bottom
"C29","PV-EC-CAP-011-220N","0402",43.250000,31.000000,270.000000,bottom
"C31","PV-EC-CAP-017-22U","0603",41.250000,24.000000,180.000000,bottom
"C32","PV-EC-CAP-011-220N","0402",41.250000,25.250000,180.000000,bottom
"C33","PV-EC-CAP-011-220N","0402",41.950000,21.750000,180.000000,bottom
"C34","PV-EC-CAP-011-220N","0402",42.000000,22.750000,180.000000,bottom
"C35","PV-EC-CAP-017-10U","0603",57.750000,27.500000,0.000000,bottom
"C37","PV-EC-CAP-017-10U","0603",58.750000,30.500000,270.000000,bottom
"C38","PV-EC-CAP-011-220N","0402",56.750000,29.500000,90.000000,bottom
"C39","PV-EC-CAP-011-220N","0402",58.500000,32.250000,180.000000,bottom
"C42","PV-EC-CAP-017-10U","0603",55.000000,27.500000,180.000000,bottom
"C43","PV-EC-CAP-017-10U","0603",58.250000,36.250000,90.000000,bottom
"C44","PV-EC-CAP-011-220N","0402",55.750000,29.500000,90.000000,bottom
"C45","PV-EC-CAP-011-220N","0402",57.000000,36.250000,90.000000,bottom
"C50","PV-EC-CAP-011-220N","0402",54.000000,35.750000,180.000000,bottom
"C51","PV-EC-CAP-017-10U","0603",53.250000,34.500000,180.000000,bottom
"C53","PV-EC-CAP-011-220N","0402",69.750000,22.250000,0.000000,bottom
"C57","PV-EC-CAP-011-220N","0402",72.750000,26.750000,0.000000,bottom
"C63","PV-EC-CAP-022-1N","0603",63.250000,12.500000,0.000000,bottom
"C64","PV-EC-CAP-022-1N","0603",59.750000,12.500000,180.000000,bottom
"C65","PV-EC-CAP-022-220N","0603",10.500000,13.250000,0.000000,bottom
"C301","PV-EC-CAP-017-22U","0603",19.450000,24.800000,180.000000,bottom
"C302","PV-EC-CAP-010-4U7","0402",41.200000,26.300000,180.000000,bottom
"C303","PV-EC-CAP-010-4U7","0402",41.950000,31.050000,0.000000,bottom
"C304","PV-EC-CAP-011-220N","0402",43.500000,28.325000,90.000000,bottom
"C305","PV-EC-CAP-011-220N","0402",40.200000,30.800000,270.000000,bottom
"C306","PV-EC-CAP-011-220N","0402",40.200000,29.550000,180.000000,bottom
"C307","PV-EC-CAP-011-220N","0402",43.450000,23.800000,270.000000,bottom
"C308","PV-EC-CAP-011-220N","0402",37.950000,29.550000,180.000000,bottom
"C309","PV-EC-CAP-011-220N","0402",41.700000,28.300000,90.000000,bottom
"C310","PV-EC-CAP-011-220N","0402",41.700000,29.550000,0.000000,bottom
"C311","PV-EC-CAP-011-220N","0402",43.450000,25.300000,270.000000,bottom
"C312","PV-EC-CAP-011-220N","0402",38.550000,31.050000,0.000000,bottom
"C313","PV-EC-CAP-017-10U","0603",45.700000,25.750000,0.000000,bottom
"C314","PV-EC-CAP-017-22U","0603",39.300000,27.900000,270.000000,bottom
"C315","PV-EC-CAP-011-220N","0402",45.350000,24.700000,0.000000,bottom
"C316","PV-EC-CAP-017-10U","0603",45.550000,23.350000,0.000000,bottom
"C317","PV-EC-CAP-011-220N","0402",40.950000,33.050000,90.000000,bottom
"C318","PV-EC-CAP-011-220N","0402",42.450000,33.050000,90.000000,bottom
"C319","PV-EC-CAP-017-22U","0603",39.350000,32.725000,90.000000,bottom
"C401","PV-EC-CAP-011-220N","0402",37.950000,27.800000,0.000000,bottom
"C402","PV-EC-CAP-011-220N","0402",18.950000,37.050000,180.000000,bottom
"C403","PV-EC-CAP-011-220N","0402",18.950000,35.800000,180.000000,bottom
"C406","PV-EC-CAP-011-220N","0402",36.200000,27.300000,90.000000,bottom
"C408","PV-EC-CAP-011-220N","0402",37.450000,32.450000,0.000000,bottom
"C409","PV-EC-CAP-011-220N","0402",36.450000,29.550000,0.000000,bottom
"C411","PV-EC-CAP-011-220N","0402",37.100000,31.050000,0.000000,bottom
"C414","PV-EC-CAP-017-22U","0603",24.200000,34.050000,90.000000,bottom
"C415","PV-EC-CAP-011-220N","0402",19.450000,27.300000,180.000000,bottom
"C416","PV-EC-CAP-011-220N","0402",29.600000,28.950000,270.000000,bottom
"C417","PV-EC-CAP-011-220N","0402",25.950000,30.550000,90.000000,bottom
"C418","PV-EC-CAP-011-220N","0402",21.950000,34.800000,90.000000,bottom
"C419","PV-EC-CAP-011-220N","0402",29.750000,35.850000,0.000000,bottom
"C420","PV-EC-CAP-011-220N","0402",28.350000,26.150000,90.000000,bottom
"C421","PV-EC-CAP-011-220N","0402",28.450000,24.550000,0.000000,bottom
"C422","PV-EC-CAP-011-220N","0402",23.950000,29.300000,225.000000,bottom
"C423","PV-EC-CAP-011-220N","0402",22.950000,24.800000,90.000000,bottom
"C424","PV-EC-CAP-011-220N","0402",19.450000,26.050000,180.000000,bottom
"C425","PV-EC-CAP-011-220N","0402",19.450000,28.550000,180.000000,bottom
"C426","PV-EC-CAP-011-220N","0402",19.450000,30.050000,180.000000,bottom
"C427","PV-EC-CAP-011-220N","0402",19.450000,34.300000,180.000000,bottom
"C501","PV-EC-CAP-011-220N","0402",37.750000,33.700000,270.000000,bottom
"C503","PV-EC-CAP-011-220N","0402",35.950000,32.550000,0.000000,bottom
"C507","PV-EC-CAP-011-220N","0402",42.550000,28.325000,90.000000,bottom
"C509","PV-EC-CAP-011-220N","0402",41.450000,34.550000,180.000000,bottom
"C521","PV-EC-CAP-017-22U","0603",22.600000,19.300000,90.000000,bottom
"C701","PV-EC-CAP-017-22U","0603",8.500000,39.250000,180.000000,bottom
"C705","PV-EC-CAP-014-18P","0402",12.450000,39.100000,180.000000,bottom
"C706","PV-EC-CAP-014-18P","0402",12.450000,28.600000,180.000000,bottom
"C707","PV-EC-CAP-017-22U","0603",9.475000,41.800000,90.000000,bottom
"C709","PV-EC-CAP-017-22U","0603",8.275000,41.800000,90.000000,bottom
"C710","PV-EC-CAP-017-22U","0603",12.450000,33.850000,0.000000,bottom
"FB2","PV-EC-FIL-004-002","1206",8.500000,35.000000,90.000000,bottom
"FB4","PV-EC-FIL-004-002","1206",8.500000,26.250000,90.000000,bottom
"FB6","PV-EC-FIL-004-001","0603_FB",30.500000,4.500000,90.000000,bottom
"FB9","PV-EC-FIL-004-002","1206",1.750000,8.250000,90.000000,bottom
"FB10","PV-EC-FIL-004-001","0603_FB",62.500000,15.000000,270.000000,bottom
"FB11","PV-EC-FIL-004-001","0603_FB",60.500000,15.000000,270.000000,bottom
"FID802","PV-EC-BRD-003-001","Fiducial_1mm",72.750000,7.250000,0.000000,bottom
"FID803","PV-EC-BRD-003-001","Fiducial_1mm",3.750000,43.750000,0.000000,bottom
"FID804","PV-EC-BRD-003-001","Fiducial_1mm",30.000000,10.250000,0.000000,bottom
"L1","PV-EC-FIL-006-002","DLW21H",41.250000,14.750000,225.000000,bottom
"L3","PV-EC-FIL-006-002","DLW21H",20.250000,12.500000,225.000000,bottom
"R1","PV-EC-RES-007-10K","0402",58.750000,22.000000,0.000000,bottom
"R2","PV-EC-RES-007-10K","0402",60.500000,22.000000,0.000000,bottom
"R3","PV-EC-RES-007-3R3","0402",38.050000,38.550000,90.000000,bottom
"R5","PV-EC-RES-007-10K","0402",52.500000,22.250000,0.000000,bottom
"R9","PV-EC-RES-007-10K","0402",54.250000,22.250000,0.000000,bottom
"R11","PV-EC-RES-007-10K","0402",48.525000,26.900000,180.000000,bottom
"R19","PV-EC-RES-010-47K","0603",70.500000,41.000000,180.000000,bottom
"R21","PV-EC-RES-010-47K","0603",69.500000,46.100000,270.000000,bottom
"R24","PV-EC-RES-007-33R","0402",60.750000,32.250000,270.000000,bottom
"R46","PV-EC-RES-010-5K11","0603",6.250000,4.000000,270.000000,bottom
"R47","PV-EC-RES-010-5K11","0603",9.750000,4.000000,270.000000,bottom
"R301","PV-EC-RES-007-100K","0402",12.450000,37.100000,0.000000,bottom
"R302","PV-EC-RES-007-100K","0402",12.450000,27.600000,0.000000,bottom
"R402","PV-EC-RES-007-240R","0402",33.300000,26.650000,270.000000,bottom
"R403","PV-EC-RES-007-470R","0402",24.200000,31.427401,90.000000,bottom
"R406","PV-EC-RES-007-240R","0402",19.450000,32.050000,0.000000,bottom
"R407","PV-EC-RES-007-240R","0402",19.450000,33.300000,0.000000,bottom
"R701","PV-EC-RES-007-453K","0402",12.450000,38.100000,180.000000,bottom
"R703","PV-EC-RES-007-147K","0402",12.450000,29.600000,180.000000,bottom
"U2","PV-EC-PTN-004-004","LLP-2513-13L",24.750000,9.000000,0.000000,bottom
"U3","PV-EC-PTN-004-001","SOT-23-6",37.750000,11.500000,45.000000,bottom
"U7","PV-EC-PTN-004-001","SOT-23-6",13.500000,10.000000,180.000000,bottom
"U8","PV-EC-PTN-004-001","SOT-23-6",61.500000,9.750000,90.000000,bottom
"U504","PV-EC-PWR-008-002","SOT-23-5",19.850000,19.300000,0.000000,bottom
